CustomerID,Lookalikes
C0001,"[('C0026', 0.9983922275818357), ('C0107', 0.9969188795052327), ('C0184', 0.9962410373725539)]"
C0002,"[('C0031', 0.9994275213462663), ('C0172', 0.9966409048022099), ('C0076', 0.9909181284943331)]"
C0003,"[('C0160', 0.9984305405582158), ('C0086', 0.9964559423169761), ('C0038', 0.9964517757979425)]"
C0004,"[('C0041', 0.9911241361601567), ('C0017', 0.9910161206802829), ('C0173', 0.9821281062716326)]"
C0005,"[('C0186', 0.9981417594854191), ('C0192', 0.9977266232700762), ('C0112', 0.9973495531341492)]"
C0006,"[('C0064', 0.995933349361351), ('C0126', 0.9936330780483202), ('C0187', 0.9929147154915453)]"
C0007,"[('C0146', 0.9999973494964174), ('C0085', 0.9974706415875025), ('C0120', 0.996640362728269)]"
C0008,"[('C0136', 0.9982903428594397), ('C0124', 0.9979933035209262), ('C0113', 0.9888081946037839)]"
C0009,"[('C0150', 0.9985821608084866), ('C0083', 0.9975390580918311), ('C0058', 0.9958488179141219)]"
C0010,"[('C0176', 0.9908715924586705), ('C0029', 0.990770852032113), ('C0088', 0.9861119630055623)]"
C0011,"[('C0139', 0.9999764055334825), ('C0064', 0.9967958919481716), ('C0006', 0.9889168698431843)]"
C0012,"[('C0046', 0.9967381895918863), ('C0163', 0.9940485601045076), ('C0122', 0.9914096101149957)]"
C0013,"[('C0145', 0.9922427122329386), ('C0053', 0.9920499256243183), ('C0093', 0.9886512511803784)]"
C0014,"[('C0060', 0.9994265406555661), ('C0097', 0.9993022811531757), ('C0128', 0.997859239699387)]"
C0015,"[('C0123', 0.9990819534600558), ('C0063', 0.998443478158334), ('C0078', 0.9960790407633664)]"
C0016,"[('C0066', 0.9965199067821628), ('C0118', 0.9922669169810289), ('C0184', 0.9871971988496393)]"
C0017,"[('C0169', 0.9977651039153044), ('C0004', 0.9910161206802829), ('C0018', 0.9841532783755409)]"
C0018,"[('C0153', 0.9978659587988894), ('C0169', 0.990213270153569), ('C0057', 0.9900127581796518)]"
C0019,"[('C0142', 0.9999221132438288), ('C0073', 0.9971420102274732), ('C0027', 0.9933065952517981)]"
C0020,"[('C0198', 0.9999987365721911), ('C0130', 0.9985821490458376), ('C0095', 0.9948986004473398)]"
C0021,"[('C0171', 0.9902322797155463), ('C0153', 0.9895996977823557), ('C0018', 0.9877188068883619)]"
